_ID,TotalHeartbeats,Heartrate,WorkoutActive,Timestamp,
1,0.0,79.0,true,1481384630001,
2,0.0,80.0,true,1481384631003,
3,0.0,80.0,true,1481384632003,
4,0.0,80.0,true,1481384633004,
5,0.0,80.0,true,1481384634004,
6,0.0,80.0,true,1481384635004,
7,0.0,80.0,true,1481384636004,
8,0.0,79.0,true,1481384637005,
9,0.0,78.0,true,1481384638007,
10,0.0,77.0,true,1481384639008,
11,0.0,74.0,true,1481384640008,
12,0.0,72.0,true,1481384641011,
13,0.0,71.0,true,1481384642010,
14,0.0,70.0,true,1481384643010,
15,0.0,70.0,true,1481384644010,
16,0.0,70.0,true,1481384645010,
17,0.0,70.0,true,1481384646012,
18,0.0,70.0,true,1481384647012,
19,0.0,70.0,true,1481384648012,
20,0.0,71.0,true,1481384649013,
21,0.0,71.0,true,1481384650016,
22,0.0,71.0,true,1481384651017,
23,0.0,70.0,true,1481384652017,
24,0.0,69.0,true,1481384653018,
25,0.0,69.0,true,1481384654024,
26,0.0,69.0,true,1481384655023,
27,0.0,69.0,true,1481384656024,
28,0.0,69.0,true,1481384657026,
29,0.0,69.0,true,1481384658026,
30,0.0,70.0,true,1481384659030,
31,0.0,70.0,true,1481384660030,
32,0.0,70.0,true,1481384661030,
33,0.0,71.0,true,1481384662030,
34,0.0,71.0,true,1481384663033,
35,0.0,71.0,true,1481384664034,
36,0.0,71.0,true,1481384665035,
37,0.0,74.0,true,1481384667035,
38,0.0,75.0,true,1481384669039,
39,0.0,78.0,true,1481384671040,
40,0.0,78.0,true,1481384672040,
41,0.0,78.0,true,1481384673041,
42,0.0,78.0,true,1481384674044,
43,0.0,78.0,true,1481384675044,
44,0.0,78.0,true,1481384676045,
45,0.0,81.0,true,1481384679048,
46,0.0,82.0,true,1481384681049,
47,0.0,83.0,true,1481384683055,
48,0.0,86.0,true,1481384684052,
49,0.0,87.0,true,1481384685053,
50,0.0,89.0,true,1481384686054,
51,0.0,90.0,true,1481384687055,
52,0.0,91.0,true,1481384688055,
53,0.0,92.0,true,1481384689057,
54,0.0,92.0,true,1481384690059,
55,0.0,93.0,true,1481384691059,
56,0.0,94.0,true,1481384692060,
57,0.0,96.0,true,1481384694062,
58,0.0,97.0,true,1481384695066,
59,0.0,99.0,true,1481384696069,
60,0.0,100.0,true,1481384697063,
61,0.0,101.0,true,1481384698063,
62,0.0,103.0,true,1481384699065,
63,0.0,104.0,true,1481384700070,
64,0.0,105.0,true,1481384701066,
65,0.0,106.0,true,1481384702067,
66,0.0,107.0,true,1481384703067,
67,0.0,108.0,true,1481384704067,
68,0.0,108.0,true,1481384705069,
69,0.0,108.0,true,1481384706071,
70,0.0,108.0,true,1481384707072,
71,0.0,107.0,true,1481384709074,
72,0.0,106.0,true,1481384710075,
73,0.0,106.0,true,1481384711076,
74,0.0,106.0,true,1481384712077,
75,0.0,107.0,true,1481384713078,
76,0.0,108.0,true,1481384714079,
77,0.0,108.0,true,1481384715080,
78,0.0,108.0,true,1481384716082,
79,0.0,108.0,true,1481384717083,
80,0.0,107.0,true,1481384718085,
81,0.0,107.0,true,1481384720088,
82,0.0,106.0,true,1481384723092,
83,0.0,105.0,true,1481384724097,
84,0.0,104.0,true,1481384725094,
85,0.0,103.0,true,1481384726094,
86,0.0,102.0,true,1481384727095,
87,0.0,98.0,true,1481384731100,
88,0.0,98.0,true,1481384733103,
89,0.0,97.0,true,1481384734107,
90,0.0,95.0,true,1481384737108,
91,0.0,94.0,true,1481384738111,
92,0.0,92.0,true,1481384739109,
93,0.0,91.0,true,1481384740111,
94,0.0,90.0,true,1481384741111,
95,0.0,86.0,true,1481384743113,
96,0.0,85.0,true,1481384744114,
97,0.0,84.0,true,1481384745116,
98,0.0,82.0,true,1481384746116,
99,0.0,80.0,true,1481384748121,
100,0.0,78.0,true,1481384749121,
101,0.0,77.0,true,1481384750123,
102,0.0,77.0,true,1481384751124,
103,0.0,76.0,true,1481384752125,
104,0.0,76.0,true,1481384753126,
105,0.0,76.0,true,1481384754127,
106,0.0,77.0,true,1481384756130,
107,0.0,77.0,true,1481384760134,
108,0.0,77.0,true,1481384761137,
109,0.0,77.0,true,1481384764142,
110,0.0,77.0,true,1481384766144,
111,0.0,77.0,true,1481384767145,
112,0.0,78.0,true,1481384769148,
113,0.0,79.0,true,1481384770148,
114,0.0,79.0,true,1481384771153,
115,0.0,79.0,true,1481384772151,
116,0.0,78.0,true,1481384773152,
117,0.0,78.0,true,1481384774153,
118,0.0,77.0,true,1481384775154,
119,0.0,77.0,true,1481384776156,
120,0.0,76.0,true,1481384778158,
121,0.0,76.0,true,1481384780159,
122,0.0,77.0,true,1481384781161,
123,0.0,77.0,true,1481384782164,
124,0.0,77.0,true,1481384783162,
125,0.0,79.0,true,1481384785165,
126,0.0,79.0,true,1481384787167,
127,0.0,79.0,true,1481384789170,
128,0.0,77.0,true,1481384791171,
129,0.0,77.0,true,1481384793173,
130,0.0,78.0,true,1481384794173,
131,0.0,78.0,true,1481384796178,
132,0.0,83.0,true,1481384800183,
133,0.0,83.0,true,1481384801184,
134,0.0,85.0,true,1481384803186,
135,0.0,86.0,true,1481384804187,
136,0.0,87.0,true,1481384805188,
137,0.0,91.0,true,1481384809196,
138,0.0,91.0,true,1481384810197,
139,0.0,91.0,true,1481384813198,
140,0.0,91.0,true,1481384814198,
141,0.0,91.0,true,1481384816201,
142,0.0,91.0,true,1481384818202,
143,0.0,89.0,true,1481384821205,
144,0.0,89.0,true,1481384823208,
145,0.0,89.0,true,1481384824208,
146,0.0,89.0,true,1481384825208,
147,0.0,91.0,true,1481384826210,
148,0.0,92.0,true,1481384827211,
149,0.0,93.0,true,1481384828213,
150,0.0,94.0,true,1481384829214,
151,0.0,94.0,true,1481384830214,
152,0.0,94.0,true,1481384831216,
153,0.0,93.0,true,1481384833220,
154,0.0,91.0,true,1481384835223,
155,0.0,90.0,true,1481384836224,
156,0.0,90.0,true,1481384837225,
157,0.0,90.0,true,1481384838227,
158,0.0,91.0,true,1481384840228,
159,0.0,93.0,true,1481384843231,
160,0.0,93.0,true,1481384844231,
161,0.0,94.0,true,1481384845233,
162,0.0,93.0,true,1481384847235,
163,0.0,93.0,true,1481384848237,
164,0.0,93.0,true,1481384849238,
165,0.0,93.0,true,1481384850239,
166,0.0,93.0,true,1481384851241,
167,0.0,91.0,true,1481384852240,
168,0.0,85.0,true,1481384853241,
169,0.0,85.0,true,1481384854243,
170,0.0,81.0,true,1481384857245,
171,0.0,81.0,true,1481384858247,
172,0.0,80.0,true,1481384859248,
173,0.0,79.0,true,1481384860251,
174,0.0,82.0,true,1481384861249,
175,0.0,89.0,true,1481384863251,
176,0.0,92.0,true,1481384864253,
177,0.0,92.0,true,1481384865257,
178,0.0,93.0,true,1481384867258,
179,0.0,92.0,true,1481384868259,
180,0.0,92.0,true,1481384870262,
181,0.0,92.0,true,1481384871263,
182,0.0,92.0,true,1481384872264,
183,0.0,92.0,true,1481384874266,
184,0.0,92.0,true,1481384875268,
185,0.0,92.0,true,1481384876272,
186,0.0,92.0,true,1481384877272,
187,0.0,91.0,true,1481384879276,
188,0.0,91.0,true,1481384880277,
189,0.0,92.0,true,1481384881278,
190,0.0,92.0,true,1481384882280,
191,0.0,92.0,true,1481384883281,
192,0.0,92.0,true,1481384884281,
